,Scores
184,0.12299144
183,0.08684753
118,0.075488776
172,0.07502028
169,0.066308245
162,0.055518378
120,0.045341186
156,0.033575308
4,0.031426027
154,0.029713828
185,0.028495785
186,0.02402874
198,0.022863332
170,0.020688118
146,0.017858855
138,0.015848894
117,0.013945946
78,0.008640189
197,0.008398423
204,0.0078072036
153,0.0077584037
192,0.0068825535
2,0.0068798824
140,0.006279071
6,0.0062016086
3,0.005821119
23,0.0048786663
137,0.003998248
119,0.0037786264
0,0.0030805122
24,0.0030185287
64,0.0029927928
42,0.002976858
176,0.0028679369
41,0.0028454673
97,0.0027533255
171,0.0024677527
160,0.0024151655
130,0.002337485
18,0.002317417
61,0.0022833177
33,0.0022718222
193,0.0022467822
148,0.002168425
35,0.0021378635
196,0.0021363692
147,0.0020355345
36,0.0019696313
207,0.0019236332
139,0.001895883
168,0.0017173771
178,0.0016946114
182,0.0016634575
98,0.0016147553
57,0.0016017073
48,0.0015932728
44,0.001515179
199,0.0015107528
30,0.00148238
77,0.00147404
107,0.0014210494
116,0.0014186545
80,0.0014169341
157,0.0013749782
141,0.0012960336
19,0.0012705479
17,0.0012650794
34,0.0012486741
37,0.0011808067
25,0.0011746729
121,0.0011658815
155,0.0011245538
70,0.0011147747
7,0.0011093185
31,0.0010933303
173,0.0010886342
111,0.0010653951
100,0.0010638724
26,0.0010536832
136,0.0010220178
104,0.0009659003
144,0.00093698985
113,0.00093369593
63,0.00092746055
187,0.0009217245
201,0.0009075229
45,0.00090059265
13,0.0008965018
177,0.00089637854
75,0.00089541374
5,0.00087859796
205,0.00081817526
40,0.00081365585
99,0.0008029618
112,0.0007954069
32,0.0007760535
79,0.0007667457
15,0.000766215
124,0.00075927447
52,0.00073181005
96,0.00071668404
51,0.00070620753
10,0.00069816253
190,0.00068569777
84,0.0006849757
101,0.0006769678
93,0.0006709098
58,0.0006686119
62,0.00066704757
202,0.0006591666
74,0.0006515546
206,0.0006488456
127,0.00064871414
188,0.00064238627
106,0.0006405212
49,0.0006377654
14,0.00063614454
161,0.0006304153
122,0.0006269806
166,0.0006196955
125,0.0006124768
152,0.0006073174
108,0.000602965
132,0.0005843431
91,0.00056650484
105,0.0005646305
128,0.0005500079
164,0.0005497914
110,0.0005413155
179,0.0005403508
9,0.0005380221
8,0.0005358837
81,0.00053453806
200,0.00053283875
145,0.0005184815
88,0.00051730615
150,0.0005104387
55,0.0005055603
11,0.00049597083
90,0.0004945804
16,0.00049328967
65,0.0004856233
208,0.00047942993
191,0.00046791404
73,0.00046406273
29,0.0004561758
12,0.00045614445
114,0.00045249495
82,0.00044378376
76,0.00043966988
28,0.00043895014
72,0.0004379974
94,0.00043600288
66,0.00043504414
85,0.00043499685
43,0.00043466757
194,0.00043138533
39,0.00042962452
27,0.00042068632
126,0.00040746675
149,0.00040263063
50,0.00039032314
68,0.0003899575
60,0.00038209092
163,0.00037756562
165,0.00037631087
54,0.00037401204
92,0.00036939094
67,0.00036725483
135,0.00036579237
71,0.0003631145
180,0.00036094026
131,0.0003608779
211,0.0003561009
20,0.0003542561
209,0.00035036655
69,0.00034586282
159,0.00033136236
129,0.0003293378
203,0.00032913015
109,0.00032601165
21,0.000323008
86,0.00032018035
46,0.0003117087
123,0.00031115292
95,0.00030805587
102,0.000303042
158,0.00030053043
189,0.00029218144
133,0.00028948614
142,0.00028649822
167,0.00028562138
175,0.0002755323
213,0.00027373436
134,0.00026151547
56,0.00026132708
174,0.00026121218
212,0.00024521264
210,0.00024305587
87,0.0002327599
195,0.00022282366
143,0.00021359487
103,0.00021137546
89,0.00020781087
181,0.00020050883
115,0.00020043478
38,0.00019502788
83,0.00019313046
47,0.00018440564
22,0.00018156035
53,0.00017172705
59,0.00016048769
151,0.00014304322
1,0.0001047407
